feature_name,feature_index
window_3h_vital_Temperature_Fahrenhe_max,3
window_3h_vital_Non_Invasive_Blood_P_std,4
window_3h_vital_Non_Invasive_Blood_P_slope,11
window_3h_vital_Non_Invasive_Blood_P_slope,12
window_3h_vital_Non_Invasive_Blood_P_max,22
window_3h_vital_Non_Invasive_Blood_P_max,28
window_3h_vital_Non_Invasive_Blood_P_max,29
window_3h_vital_Non_Invasive_Blood_P_max,30
window_3h_vital_Non_Invasive_Blood_P_count,34
window_3h_vital_Non_Invasive_Blood_P_mean,38
window_3h_vital_Non_Invasive_Blood_P_mean,43
window_3h_vital_Non_Invasive_Blood_P_mean,44
window_3h_vital_Non_Invasive_Blood_P_mean,55
window_6h_vital_Non_Invasive_Blood_P_std,58
window_6h_vital_Non_Invasive_Blood_P_std,66
window_6h_vital_Non_Invasive_Blood_P_std,72
window_12h_vital_Non_Invasive_Blood_P_std,79
window_12h_vital_Non_Invasive_Blood_P_std,83
window_6h_vital_Non_Invasive_Blood_P_max,95
window_6h_vital_Non_Invasive_Blood_P_mean,101
window_6h_vital_Non_Invasive_Blood_P_max,105
window_6h_vital_Non_Invasive_Blood_P_count,109
window_6h_vital_Non_Invasive_Blood_P_count,114
window_6h_vital_Non_Invasive_Blood_P_count,127
window_24h_vital_Non_Invasive_Blood_P_slope,132
window_24h_vital_Non_Invasive_Blood_P_slope,134
window_24h_vital_Non_Invasive_Blood_P_slope,139
window_24h_vital_Non_Invasive_Blood_P_slope,140
window_24h_vital_Non_Invasive_Blood_P_std,141
window_24h_vital_Non_Invasive_Blood_P_slope,147
window_12h_vital_Non_Invasive_Blood_P_max,151
window_12h_vital_Non_Invasive_Blood_P_min,154
window_12h_vital_Non_Invasive_Blood_P_min,155
window_12h_vital_Non_Invasive_Blood_P_min,167
window_12h_vital_Non_Invasive_Blood_P_count,168
window_12h_vital_Non_Invasive_Blood_P_mean,172
window_12h_vital_Non_Invasive_Blood_P_max,177
window_12h_vital_Non_Invasive_Blood_P_max,178
window_12h_vital_Non_Invasive_Blood_P_min,182
window_12h_vital_Non_Invasive_Blood_P_mean,183
window_12h_vital_Non_Invasive_Blood_P_mean,185
window_3h_vital_Heart_Rate_slope,189
window_24h_vital_Non_Invasive_Blood_P_count,195
window_24h_vital_Non_Invasive_Blood_P_min,202
window_24h_vital_Non_Invasive_Blood_P_max,204
window_24h_vital_Non_Invasive_Blood_P_max,207
window_24h_vital_Non_Invasive_Blood_P_count,214
window_24h_vital_Non_Invasive_Blood_P_max,216
window_24h_vital_Non_Invasive_Blood_P_mean,218
window_24h_vital_Non_Invasive_Blood_P_min,224
window_24h_vital_Non_Invasive_Blood_P_min,225
window_24h_vital_Non_Invasive_Blood_P_count,227
window_48h_vital_Temperature_Fahrenhe_slope,230
window_48h_vital_Non_Invasive_Blood_P_slope,236
window_12h_vital_Temperature_Fahrenhe_mean,251
window_3h_vital_Heart_Rate_min,254
window_48h_vital_Non_Invasive_Blood_P_max,271
window_48h_vital_Non_Invasive_Blood_P_mean,275
window_48h_vital_Non_Invasive_Blood_P_mean,276
window_48h_vital_Non_Invasive_Blood_P_max,277
window_48h_vital_Non_Invasive_Blood_P_max,279
window_48h_vital_Non_Invasive_Blood_P_count,283
window_48h_vital_Non_Invasive_Blood_P_mean,288
window_48h_vital_Non_Invasive_Blood_P_count,297
window_48h_vital_Temperature_Fahrenhe_min,298
window_6h_vital_Heart_Rate_slope,303
window_6h_vital_Heart_Rate_max,307
window_24h_vital_Heart_Rate_slope,311
window_24h_vital_Heart_Rate_count,318
window_24h_vital_Heart_Rate_min,319
age,326
anchor_age,328
